slug,kind,status,scientific_claim_clear,axes_legends_readable,caption_matches_result,needed_edits,artifact_path,svg_path,caption
fig01_annotation_difficulty,figure,draft,,,,,paper-writing/figures/fig-archive/20260430_092942__fig01_annotation_difficulty.png,,"Annotation-difficulty examples for Sentinel-2 iceberg chips. The panels contrast the source image, preliminary annotation, cleaned binary target, and the main annotation decision introduced by the v4_clean workflow."
fig02_dataset_workflow,figure,draft,,,,,paper-writing/figures/fig-archive/20260430_093047__fig02_dataset_workflow.png,paper-writing/figures/fig-archive/20260430_093047__fig02_dataset_workflow.svg,"Dataset construction workflow. Fisser-derived and Roboflow-derived annotations are harmonized through shadow merge, 40 m component filtering, and annotation-aware IC masking to produce the binary v4_clean train, validation, and test splits."
fig03_method_schematic,figure,draft,,,,,paper-writing/figures/fig-archive/20260430_093048__fig03_method_schematic.png,paper-writing/figures/fig-archive/20260430_093048__fig03_method_schematic.svg,"Base segmentation workflow schematic. Two methods operate directly on B08 reflectance, while learned methods share a UNet++ probability map before direct segmentation, fixed-threshold binarization, Otsu binarization, or CRF refinement."
fig04_evaluation_schematic,figure,draft,,,,,paper-writing/figures/fig-archive/20260430_093048__fig04_evaluation_schematic.png,paper-writing/figures/fig-archive/20260430_093048__fig04_evaluation_schematic.svg,"Per-iceberg evaluation workflow. Ground-truth and predicted components are matched by Hungarian assignment on 1 - IoU, unmatched components are counted as false negatives or false positives, and matched pairs feed MAE, IoU, and MSE summaries."
fig05_progression,figure,draft,,,,,paper-writing/figures/fig-archive/20260430_085902__fig05_progression.png,paper-writing/figures/fig-archive/20260430_085902__fig05_progression.svg,"Experimental progression visual. Phase A walks dataset cleaning and balancing choices with one reader-facing motivation per step; Phase B freezes the selected dataset and compares base segmentation workflows, with top-hat variants treated as a separate downstream post-processing result."
mae_rootlen_vs_sza,figure,draft,,,,,paper-writing/figures/fig-archive/20260429_124124__mae_rootlen_vs_sza.png,,"Per-pair root-length MAE by SZA bin for the method comparison. Lower values indicate smaller matched-iceberg size error, making this the most direct Fisser-comparable accuracy view."
area_scatter_by_method,figure,draft,,,,,paper-writing/figures/fig-archive/20260429_225449__area_scatter_by_method.png,,Predicted versus reference iceberg area by method. The scatter view shows method-specific area bias and spread across matched iceberg pairs.
bias_delta_by_area,figure,draft,,,,,paper-writing/figures/fig-archive/20260429_225451__bias_delta_by_area.png,,"Area-dependent bias summary by method. The figure shows whether prediction error changes across iceberg size, especially for small versus large objects."
re_by_area_bin,figure,draft,,,,,paper-writing/figures/fig-archive/20260429_225524__re_by_area_bin.png,,"Relative error by iceberg area bin. Values compare predicted and reference area within size classes, exposing whether method effects concentrate in particular iceberg sizes."
outline_examples,figure,draft,,,,,paper-writing/figures/fig-archive/20260430_093235__outline_examples.png,,Representative outline examples comparing predicted and reference iceberg boundaries. These examples provide visual context for the numeric MAE and IoU metrics.
table_phase_a_leaderboard,table,draft,,,,,paper-writing/figure_review/table_previews/table_phase_a_leaderboard.png,,"Phase A lt65 dataset-progression leaderboard from results.md. A0 is the best validation-IoU configuration, while later cleaning and balancing variants underperform on this split. Source: paper-writing/results.md."
table_phase_a_preprocessing_nulls,table,draft,,,,,paper-writing/figure_review/table_previews/table_phase_a_preprocessing_nulls.png,,"Phase A 2x2 from results.md. Preprocessing dominates the lt65 validation-IoU change, while null-chip injection has a smaller effect. Source: paper-writing/results.md."
table_probability_calibration,table,draft,,,,,paper-writing/figure_review/table_previews/table_probability_calibration.png,,"Probability calibration audit from results.md. A2 shifts most pixels into the 0.20-0.35 probability range, explaining the failure of fixed-threshold post-processing on that run. Source: paper-writing/results.md."
table_base_mae_rootlen,table,draft,,,,,paper-writing/figure_review/table_previews/table_base_mae_rootlen.png,,Base six-method root-length MAE table from results.md. UNet_CRF has the lowest MAE in three of four SZA bins; UNet_OT wins the lt65 bin. Source: paper-writing/results.md.
table_base_iou,table,draft,,,,,paper-writing/figure_review/table_previews/table_base_iou.png,,"Base six-method matched-pair IoU table from results.md. UNet_CRF again leads in three of four SZA bins, with UNet_OT leading lt65. Source: paper-writing/results.md."
table_base_detection,table,draft,,,,,paper-writing/figure_review/table_previews/table_base_detection.png,,Base six-method detection table from results.md. Match rate and precision disclose selection bias before comparing MAE across methods. Source: paper-writing/results.md.
table_tophat_mae_rootlen,table,draft,,,,,paper-writing/figure_review/table_previews/table_tophat_mae_rootlen.png,,Top-hat post-processing root-length MAE table from Overleaf Table 9. These +TH variants are the separate Segmentation -> top-hat -> segmentation++ sensitivity path. Source: paper-writing/overleaf/2026-04-17_template-plan-md/main.tex.
table_tophat_iou,table,draft,,,,,paper-writing/figure_review/table_previews/table_tophat_iou.png,,Top-hat post-processing IoU table from Overleaf Table 10. It keeps the +TH sensitivity branch separate from the six base methods. Source: paper-writing/overleaf/2026-04-17_template-plan-md/main.tex.
table_tophat_detection,table,draft,,,,,paper-writing/figure_review/table_previews/table_tophat_detection.png,,Top-hat post-processing detection table from Overleaf Table 11. The +TH branch trades precision for additional recovered candidate matches. Source: paper-writing/overleaf/2026-04-17_template-plan-md/main.tex.
